name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
Lablab x AMD AI Academy Challenge,"A three-month fully online program where developers learn, build, and share AI projects powered by AMD hardware and tools.",2026-09-01T09:00:00+00:00,2026-12-01T18:00:00+00:00,UTC,online,,,,,https://lablab.ai/ai-hackathons/amd-lablab-ai-academy-challenge,,,ai|hardware,open,0,"$5,000 USD",,lablab.ai (with AMD),https://lablab.ai/ai-hackathons/amd-lablab-ai-academy-challenge,confirmed
AssemblyAI Voice Agent Hackathon,A month-long fully online hackathon where participants build voice AI agents using AssemblyAI's speech infrastructure.,2026-09-01T09:00:00+00:00,2026-09-30T18:00:00+00:00,UTC,online,,,,,https://lablab.ai/ai-hackathons/assemblyai-voice-agent-hackathon,,,ai,open,0,"$10,000 ($5k cash + $5k AssemblyAI credits)",2110,lablab.ai (with AssemblyAI),https://lablab.ai/ai-hackathons/assemblyai-voice-agent-hackathon,confirmed
AI Infra Summit Hackathon,"Hybrid hackathon to build production-grade AI applications on the modern AI infra stack, building online before an on-site showcase at AI Infra Summit. On-site component in Santa Clara Convention Center, Santa Clara, US.",2026-09-10T09:00:00+00:00,2026-09-17T18:00:00+00:00,UTC,online,,"5001 Great America Pkwy, Santa Clara, CA, USA",,,https://lablab.ai/ai-hackathons/ai-infra-summit-hackathon,,,ai|data,open,0,,,lablab.ai (with Kisaco Research),https://lablab.ai/ai-hackathons/ai-infra-summit-hackathon,confirmed
WeAreDevelopers Hackathon,"Hybrid hackathon where developers turn an idea into a working AI project, building online before an on-site showcase at WeAreDevelopers World Congress North America. On-site component in WeAreDevelopers World Congress North America, San Jose, US.",2026-09-18T09:00:00+00:00,2026-09-25T18:00:00+00:00,UTC,online,,,,,https://lablab.ai/ai-hackathons/wearedevelopers-hackathon,,,ai,open,0,,1878,lablab.ai (with WeAreDevelopers),https://lablab.ai/ai-hackathons/wearedevelopers-hackathon,confirmed
IBM Bob 2.0 Hackathon,A 48-hour fully online hackathon focused on building AI-assisted development solutions with IBM's Bob.,2026-09-25T09:00:00+00:00,2026-09-27T18:00:00+00:00,UTC,online,,,,,https://lablab.ai/ai-hackathons/ibm-bob-2-hackathon,,,ai,open,0,"$10,000 total prize pool",8565,lablab.ai (with IBM),https://lablab.ai/ai-hackathons/ibm-bob-2-hackathon,confirmed
AMD Developer Hackathon: ACT III,"Hybrid hackathon to build AI agents and high-performance apps on AMD GPUs in the cloud, with online building and on-site showcases in Italy. On-site component in IT.",2026-10-12T09:00:00+00:00,2026-10-18T18:00:00+00:00,UTC,online,,,,,https://lablab.ai/ai-hackathons/amd-developer-hackathon-act-iii,,,ai|hardware,open,0,"$5,000+",1784,lablab.ai (with AMD),https://lablab.ai/ai-hackathons/amd-developer-hackathon-act-iii,confirmed
TechEx Amsterdam Hackathon,"Hybrid hackathon to build AI applications at AI & Big Data Expo Europe, building online before an on-site showcase at RAI Amsterdam. On-site component in RAI Amsterdam, Amsterdam, NL.",2026-10-16T09:00:00+00:00,2026-10-20T18:00:00+00:00,UTC,online,,"Europaplein 24, 1078 GZ Amsterdam, Netherlands",,,https://lablab.ai/ai-hackathons/techex-amsterdam-hackathon,,,ai|iot,open,0,,581,lablab.ai (with TechEx Events),https://lablab.ai/ai-hackathons/techex-amsterdam-hackathon,confirmed
MLH Global Hack Week: Data Week,"A free week-long online hackathon dedicated to building projects with data, open to anyone anywhere.",2026-09-11T09:00:00+00:00,2026-09-17T18:00:00+00:00,UTC,online,,,,,https://ghw.mlh.com/,https://mlh.link/ghw,,data,open,0,,,Major League Hacking,https://ghw.mlh.com/,confirmed
MLH Global Hack Week: Hacktoberfest,A free week-long online Global Hack Week edition dedicated to open source contributions.,2026-10-09T09:00:00+00:00,2026-10-15T18:00:00+00:00,UTC,online,,,,,https://ghw.mlh.com/,https://mlh.link/ghw,,open,open,0,,,Major League Hacking,https://ghw.mlh.com/,confirmed
MLH Global Hack Week: Builders Week,"A free, beginner-friendly online Global Hack Week edition for building your first projects.",2026-11-06T09:00:00+00:00,2026-11-12T18:00:00+00:00,UTC,online,,,,,https://ghw.mlh.com/,https://mlh.link/ghw,,open,open,0,,,Major League Hacking,https://ghw.mlh.com/,confirmed
Geminithon 2026,"A one-day online AI and cloud innovation hackathon focused on Google Gemini, Google Cloud, and AWS technologies.",2026-09-19T09:00:00+00:00,2026-09-19T18:00:00+00:00,UTC,online,,,,,https://luma.com/5o2ogdww,,,ai,open,0,,,GitHub Education (community-organized),https://education.github.com/events,confirmed
